Registration Mark,Aircraft Producer,Aircraft Model,Category,Registration Date,MTOW (KGs),Year of Manufacture,Aircraft Serial Number,Engine Manufacturer,Engine Model,No. of Engines,Registered Owner,Address
EI-AKM,PIPER AIRCRAFT INC,PIPER J3,LAND AEROPLANE,23/11/1973,553,1946,15810,CONTINENTAL MOTORS CORP.,A65,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-ALP,BAE SYSTEMS (OPERATIONS) LIMITED,AVRO 643 CADET,LAND AEROPLANE,15/04/1964,907,1935,848,ARMSTRONG SIDDELEY,GENET MAJOR 1,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AMK,AUSTER AIRCRAFT LTD,AUSTER 5J1,LAND AEROPLANE,11/10/1966,839,1946,1838,BLACKBURN,CIRRUS MINOR II,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-ANT,CHAMPION AIRCRAFT CORPORATION,CHAMPION 7ECA,LAND AEROPLANE,26/10/2001,748,1964,38,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-ANY,PIPER AIRCRAFT INC,PIPER PA-18,LAND AEROPLANE,02/03/1991,680,1959,18-7152,CONTINENTAL MOTORS CORPORATION,C90-12F,1,THE BOGAVIA GROUP,"DUBLIN,"
EI-AOB,PIPER AIRCRAFT INC,PIPER PA-28-140,LAND AEROPLANE,26/01/1987,885,1965,20667,LYCOMING,O-320-E2A,1,KNOCK FLYING GROUP,"MAYO,"
EI-AOO,CESSNA AIRCRAFT COMPANY,CESSNA 150E,LAND AEROPLANE,07/10/2019,726,1965,150-61225,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"LOUTH,"
EI-ARW,JODEL,JODEL DR1050,LAND AEROPLANE,24/01/1985,748,1960,118,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-AUM,AUSTER AIRCRAFT LTD,AUSTER 5J1,LAND AEROPLANE,11/10/1973,839,1947,2612,BLACKBURN,CIRRUS MINOR II,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AVE,PIPER AIRCRAFT INC,PIPER PA-18,LAND AEROPLANE,24/12/2020,680,1960,18-7375,CONTINENTAL MOTORS CORP.,C90-14F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AVM,CESSNA AIRCRAFT COMPANY,CESSNA F150L,LAND AEROPLANE,11/02/2000,726,1972,745,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-AWP,DE HAVILLAND AIRCRAFT CO LTD,DH82A TIGER MOTH,LAND AEROPLANE,27/11/1998,828,1943,19577,BLACKBURN,GIPSY MAJOR 1F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AWR,AB MALMO FLYGINDUSTRI,MFI-9,LAND AEROPLANE,16/03/1998,576,1963,10,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-AYB,SUD-AVIATION,GARDAN GY80-180,LAND AEROPLANE,31/01/1997,1100,1965,156,LYCOMING,O-360-A1A,1,PRIVATE INDIVIDUAL,"CAVAN,"
EI-AYI,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.880B,LAND AEROPLANE,23/05/1975,771,1962,189,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-AYN,BRITTEN-NORMAN LTD,BN2A-8 ISLANDER,LAND AEROPLANE,30/12/1993,2858,1974,704,LYCOMING,O-540-E4C5,2,GALWAY AVIATION SERVICES LIMITED,"CAISLEAN, INVERIN, CO. GALWAY,"
EI-AYR,ALEXANDER SCHLEICHER GMBH & CO,SCHLEICHER ASK 16,POWERED SAILPLANE,20/09/2000,635,1974,16022,ARDEM,LIMBACH,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-AYT,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.894A,LAND AEROPLANE,15/06/1981,1100,1969,11065,FRANKLIN,6A-350,1,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-AYY,HOMEBUILD,EVANS VP-1,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,18/08/1975,340,1974,MD01,VOLKSWAGEN,1600 (PEACOCK),1,BALLYBOUGHAL VP-1 FLYING GROUP,"DUBLIN,"
EI-AZA,THE BOEING COMPANY,BOEING 737-86N,LAND AEROPLANE,25/08/2021,79015,2001,28655,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZB,THE BOEING COMPANY,BOEING 737-8AS,LAND AEROPLANE,19/10/2021,79015,2000,29925,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZC,THE BOEING COMPANY,BOEING 737-86J,LAND AEROPLANE,23/11/2021,79015,2000,30877,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZD,THE BOEING COMPANY,BOEING 737-86Q,LAND AEROPLANE,08/12/2021,79015,2002,30284,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZE,THE BOEING COMPANY,BOEING 737-86Q,LAND AEROPLANE,26/05/2022,79015,2004,30291,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZF,THE BOEING COMPANY,BOEING 737-84P,LAND AEROPLANE,15/07/2022,79015,2002,32604,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-AZG,THE BOEING COMPANY,BOEING 737-86Q,LAND AEROPLANE,29/08/2022,79015,2002,32773,CFM,CFM56-7B24,2,ASL AIRLINES (IRELAND) LIMITED,"3 MALAHIDE ROAD, SWORDS, CO. DUBLIN,"
EI-BAJ,S.N.C.A.N.,STAMPE SV4C,LAND AEROPLANE,17/10/1974,825,1946,171,RENAULT,4PO3,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BAV,PIPER AIRCRAFT INC,PIPER PA-22-108,LAND AEROPLANE,15/06/1990,748,1961,22-8347,LYCOMING,O-235-C1B,1,PRIVATE INDIVIDUAL,"OFFALY,"
EI-BBE,CHAMPION AIRCRAFT CORPORATION,CHAMPION 7EC,LAND AEROPLANE,13/06/1989,658,1960,393,CONTINENTAL MOTORS CORP.,C90-12F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BBV,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,14/06/1976,553,1944,13058,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BCE,BRITTEN-NORMAN LTD,BN2A-26 ISLANDER,LAND AEROPLANE,30/12/1993,2994,1976,519,LYCOMING,O-540-E4C5,2,GALWAY AVIATION SERVICES LIMITED,"CAISLEAN, INVERIN, CO. GALWAY,"
EI-BCF,BENSEN AIRCRAFT CORPORATION,BENSEN B8M,GYROCOPTER,04/03/1997,227,1965,1,MCCULLOCH MOTORS CORPORATION,AF 0-100-1,1,PRIVATE INDIVIDUAL,"CLARE,"
EI-BCJ,FALCO,FALCO F8L SERIES 3,LAND AEROPLANE,19/01/1977,820,1959,204,LYCOMING,O-320-A1A,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-BCK,REIMS AVIATION SA,CESSNA F172N,LAND AEROPLANE,11/05/1999,1043,1977,1543,LYCOMING,O-320-H2AD,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-BCM,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,26/11/1976,553,1944,11983,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"DUBLIN, KERRY,"
EI-BCN,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,26/11/1976,549,1944,12335,CONTINENTAL MOTORS CORP.,A65-8C,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BCP,ROLLASON AIRCRAFT AND ENGINES LTD,DRUINE D.62B CONDOR,LAND AEROPLANE,18/12/1984,669,1967,RAE/618,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-BDL,HOMEBUILD,EVANS VP-2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,21/05/1998,472,1977,V2-2101,ARDEM,4 CYL,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BDR,PIPER AIRCRAFT INC,PIPER PA-28-180,LAND AEROPLANE,30/06/1992,1089,1967,28-3980,LYCOMING,O-360-A4A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BDX,ROLLASON AIRCRAFT AND ENGINES LTD,DRUINE D.62B CONDOR,LAND AEROPLANE,24/06/2016,669,1964,RAE/608,ROLLS-ROYCE PLC,O-200-A,1,THE BRIAN DOUGLAS TRUST-BDX GROUP,"KILDARE,"
EI-BEN,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,28/04/1978,550,1944,12546,CONTINENTAL MOTORS CORP.,A65-8F,1,BALLYBOUGHAL L4 FLYING GROUP,"DUBLIN,"
EI-BFR,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.880B,LAND AEROPLANE,09/01/2020,771,1973,2429,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"LAOIS,"
EI-BHV,CHAMPION AIRCRAFT CORPORATION,CHAMPION 7EC,LAND AEROPLANE,17/09/1999,658,1960,739,CONTINENTAL MOTORS CORP.,C90-12F,1,PRIVATE INDIVIDUAL,"KILKENNY, TIPPERARY,"
EI-BIB,CESSNA AIRCRAFT COMPANY,CESSNA F152,LAND AEROPLANE,13/03/1981,758,1979,F152-1724,LYCOMING,O-235-L2C,1,SLIGO AERONAUTICAL CLUB COMPANY LIMITED BY GUARANTEE,"SLIGO AIRPORT , STRANDHILL, CO SLIGO,"
EI-BID,PIPER AIRCRAFT INC,PIPER PA-19 (MODIFIED),LAND AEROPLANE,02/07/1991,680,1952,18-1524,CONTINENTAL MOTORS CORP.,O-200-A,1,BALLYBOUGHAL SUPER CUB GROUP,"DUBLIN,"
EI-BIK,PIPER AIRCRAFT INC,PIPER PA-18-150,LAND AEROPLANE,01/02/1980,794,1979,18-7909088,LYCOMING,O-360-A3A,1,DUBLIN GLIDING CLUB COMPANY LIMITED BY GUARANTEE,"GOWRAN GRANGE AIRFIELD, PUNCHESTOWN, NAAS, CO. KILDARE,"
EI-BIO,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,27/05/1980,553,1945,44-80361,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-BIR,CESSNA AIRCRAFT COMPANY,CESSNA F172M,LAND AEROPLANE,20/10/2000,1078,1974,1225,LYCOMING,O-320-E2D,1,FIGILE FLYING GROUP,"KILDARE,"
EI-BJB,AERONCA AIRCRAFT CORPORATION,AERONCA 7DC,LAND AEROPLANE,24/09/1999,612,1946,7AC-925,CONTINENTAL MOTORS CORP.,C85-8F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BJC,AERONCA AIRCRAFT CORPORATION,AERONCA 7AC,LAND AEROPLANE,24/03/1994,553,1946,4927,CONTINENTAL MOTORS CORP.,A65-8,1,PRIVATE INDIVIDUAL,"LIMERICK,"
EI-BJK,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER RALLYE 110ST,LAND AEROPLANE,26/09/2000,770,1979,3226,LYCOMING,O-235-L2A,1,PHOENIX FLYING LIMITED,"LEVEL 4, THE CORNMARKET, LIMERICK,"
EI-BJM,CESSNA AIRCRAFT COMPANY,CESSNA A152,LAND AEROPLANE,26/08/1981,760,1980,A152-0936,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-BJO,CESSNA AIRCRAFT COMPANY,CESSNA R172K,LAND AEROPLANE,18/10/1981,1157,1980,R1723340,CONTINENTAL MOTORS CORPORATION,IO-360-K,1,THE XP GROUP,"GALWAY,"
EI-BKC,AERONCA AIRCRAFT CORPORATION,AERONCA 15AC,LAND AEROPLANE,20/12/1990,930,1949,467,CONTINENTAL MOTORS CORP.,C145-2,1,PRIVATE INDIVIDUAL,"MEATH, TIPPERARY, WESTMEATH,"
EI-BKK,SHARP SB,TAYLOR MONOPLANE,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,18/02/1986,333,1972,PFA-1421,ARDEM,1600,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-BMN,CESSNA AIRCRAFT COMPANY,CESSNA F152,LAND AEROPLANE,03/11/1995,758,1982,F152-1912,LYCOMING,O-235-L2C,1,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-BMO,AVIONS PIERRE ROBIN,PIERRE ROBIN R2160,LAND AEROPLANE,16/02/2022,900,1977,116,LYCOMING,O-320-D2A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-BMU,HOMEBUILD,MONNETT SONERAI 1,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,09/06/1998,431,1982,1224,ARDEM,2100 (MONNET),1,PRIVATE INDIVIDUAL,"CORK, SLIGO,"
EI-BNL,HOMEBUILD,RAND KR-2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,13/01/1983,408,1983,0,CORAS BLANK,2000,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-BNU,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.880B,LAND AEROPLANE,07/04/1983,771,1968,1204,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-BOV,HOMEBUILD,RAND KR-2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,07/05/1984,408,1984,0,ARDEM,1835,1,PRIVATE INDIVIDUAL,"SLIGO,"
EI-BPP,EIPPER AIRCRAFT INC,QUICKSILVER MX,ANNEX I 1(E) / 450 KG,12/03/1985,211,1982,3207,CUYUNA,430,1,PRIVATE INDIVIDUAL,"CAVAN,"
EI-BRU,QUINN,EVANS VP-1,LAND AEROPLANE,30/11/1992,340,1985,V-12-84-CQ,ARDEM,1600,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-BSB,SOCIETE WASSMER AVIATION,JODEL D112,LAND AEROPLANE,20/06/2000,530,1961,1067,CONTINENTAL MOTORS CORP.,A65-8F,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BSG,BENSEN AIRCRAFT CORPORATION,BENSEN B8M,GYROCOPTER,30/01/1986,272,1985,NONE,MCCULLOCH MOTORS CORPORATION,4318G,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-BSK,S.O.C.A.T.A.,SOCATA TB9,LAND AEROPLANE,09/04/1986,1061,1986,618,LYCOMING,O-320-D1A,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BSL,PIPER AIRCRAFT INC,PIPER PA-34-220T,LAND AEROPLANE,24/12/1999,1999,1982,34-8233041,CONTINENTAL MOTORS CORP.,LTSIO-360-KBTSIO-360-KB,2,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BSN,CAMERON BALLOONS LIMITED,CAMERON O-65,BALLOON,14/04/1986,590,1986,1278,,,0,PRIVATE INDIVIDUAL,"MEATH,"
EI-BSO,PIPER AIRCRAFT INC,PIPER PA-28-140,LAND AEROPLANE,03/05/1996,975,1969,28-25449,LYCOMING,O-320-E2A,1,PRIVATE INDIVIDUAL,"WATERFORD,"
EI-BSW,SOLAR WINGS AVIATION LTD,PEGASUS XL-R,ANNEX I 1(E) / 450 KG,22/06/1987,350,1986,SW-TB-1124,ROTAX,447,1,PRIVATE INDIVIDUAL,"WATERFORD,"
EI-BSX,PIPER AIRCRAFT INC,PIPER J3C-65,LAND AEROPLANE,22/08/2017,553,1942,13255,65,65,1,PRIVATE INDIVIDUAL,"KILDARE,"
EI-BUC,SAMBELL RS,JODEL D9,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,03/07/1995,320,1979,PFA 929 RLSI,ARDEM,1500,1,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-BUF,CESSNA AIRCRAFT COMPANY,CESSNA 210N,LAND AEROPLANE,15/11/1989,1724,1979,63070,CONTINENTAL MOTORS CORPORATION,IO-520-L,1,210 GROUP,"LONGFORD,"
EI-BUG,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER RALLYE 100ST,LAND AEROPLANE,01/06/1991,1220,1971,125,LYCOMING,IO-360-C1B,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-BUL,GREENE,MW5 SORCERER,ANNEX I 1(E) / 450 KG,30/07/1990,280,1987,1,CITROEN,602CC,1,PRIVATE INDIVIDUAL,"LAOIS,"
EI-BUN,BEECH AIRCRAFT CORPORATION,BEECH 76,LAND AEROPLANE,15/03/1996,1769,1980,ME371,LYCOMING,LO-360-A1G6DO-360-A1G6D,2,NATIONAL FLIGHT CENTRE LIMITED,"WESTON AERODROME, LEIXLIP, CO. KILDARE,"
EI-BUT,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.893A,LAND AEROPLANE,30/07/1987,1050,1965,10559,LYCOMING,O-360-A1A,1,PRIVATE INDIVIDUAL,"CORK,"
EI-BVJ,AMF MICROFLIGHT LTD,CHEVVRON 2-32,ANNEX I 1(E) / 450 KG,16/10/1996,370,1988,9,50570,50570,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BVK,PIPER AIRCRAFT INC,PIPER PA-38-112,LAND AEROPLANE,15/10/1993,758,1979,38-79A0966,LYCOMING,O-235-L2C,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-BVT,O'SULLIVAN JOHN J,EVANS VP-2,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,20/03/1996,472,1988,V2-2129,ARDEM,1834,1,PRIVATE INDIVIDUAL,"CORK,"
EI-BVY,ZENAIR CANADA LTD,ZENAIR CH 200RW,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,07/06/1988,850,1988,2-582,LYCOMING,O-320,1,PRIVATE INDIVIDUAL,"LONGFORD,"
EI-BYL,MICHAEL SKELLY / FAS,ZENAIR CH 250,ANNEX I 1(C) / HOMEBUILD LAND AEROPLANE,18/12/1996,850,1989,2866,LYCOMING,O-320-E2A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
EI-BYX,CHAMPION AIRCRAFT CORPORATION,CHAMPION 7GCAA,LAND AEROPLANE,22/02/1993,748,1965,40,LYCOMING,O-320,1,PRIVATE INDIVIDUAL,"CLARE, DOWN, LIMERICK,"
EI-BYY,PIPER AIRCRAFT INC,PIPER J3,LAND AEROPLANE,07/07/1998,553,1946,22288,85,85,1,PRIVATE INDIVIDUAL,"GALWAY,"
EI-CAC,BURKHART GROB LUFT-UND RAUMFAHRT GMBH AND CO KG,GROB G115,LAND AEROPLANE,02/10/2000,850,1989,8092,LYCOMING,O-235-H2C,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CAD,BURKHART GROB LUFT-UND RAUMFAHRT GMBH AND CO KG,GROB G115,LAND AEROPLANE,22/08/2003,850,1990,8104,LYCOMING,O-235-H2C,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CAE,BURKHART GROB LUFT-UND RAUMFAHRT GMBH AND CO KG,GROB G115,LAND AEROPLANE,07/02/1994,850,1990,8105,LYCOMING,O-235-H2C,1,PRIVATE INDIVIDUAL,"CORK,"
EI-CAN,AEROTECH INTERNATIONAL LIMITED,MW5(K) SORCERER,ANNEX I 1(E) / 450 KG,07/02/1995,146,1990,5K-0011-02,ROTAX,447,1,PRIVATE INDIVIDUAL,"TIPPERARY,"
EI-CAU,AMF MICROFLIGHT LTD,CHEVVRON 2-32,ANNEX I 1(E) / 450 KG,29/04/1996,382,1990,22,32,32,1,PRIVATE INDIVIDUAL,"KERRY,"
EI-CAX,CESSNA AIRCRAFT COMPANY,CESSNA P210D,LAND AEROPLANE,16/07/1999,1814,1979,215,CONTINENTAL MOTORS CORP.,TSIO-520-D,1,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-CBK,ATR-GIE AVIONS DE TRANSPORT REGIONAL,ATR 42-300,LAND AEROPLANE,24/12/1998,16900,1990,199,PRATT & WHITNEY CANADA,PW120,2,ELIX ASSETS 7 LIMITED,"UNIT J BLOCK 1, SHANNON BUSINESS PARK, SHANNON, CO. CLARE,"
EI-CCF,AERONCA AIRCRAFT CORPORATION,AERONCA 11AC,LAND AEROPLANE,09/07/1999,567,1947,11ACS40,CONTINENTAL MOTORS CORP.,A65,1,PRIVATE INDIVIDUAL,"MEATH,"
EI-CCM,CESSNA AIRCRAFT COMPANY,CESSNA 152,LAND AEROPLANE,18/11/1999,758,1979,82320,LYCOMING,O-235-L2C,1,PRIVATE INDIVIDUAL,"DUBLIN,"
EI-CDP,CESSNA AIRCRAFT COMPANY,CESSNA 182L,LAND AEROPLANE,14/01/1997,1270,1968,182-58955,CONTINENTAL MOTORS CORPORATION,O-470-R,1,IRISH PARACHUTE CLUB LIMITED,"THE AIRFIELD, CLONBULLOGUE, CO. OFFALY,"
EI-CDV,CESSNA AIRCRAFT COMPANY,CESSNA 150G,LAND AEROPLANE,14/08/1998,726,1967,15066677,CONTINENTAL MOTORS CORP.,O-200-A,1,PRIVATE INDIVIDUAL,"DUBLIN, KILDARE,"
EI-CEG,SOCIETE DE CONSTRUCTION D'AVIONS DE TOURISME DE D'AFFAIRES,MORANE SAULNIER MS.893E,LAND AEROPLANE,31/10/1991,1050,1978,13083,LYCOMING,O-360-A3A,1,PRIVATE INDIVIDUAL,"WICKLOW,"
